subjectNumber,AGE,TRAIT_DOM,HEIGHT,WEIGHT,BODY_FAT,GRIP_STRENGTH,CHEST_STRENGTH,DOM_IPIP,FACECON,DOM_RATING,MEM,Face_Data_Set,Morph_type,CON_1,CON_2
38,18,10,163,58.6,12.8,92.5,110,29,1,4.1,.8,1,1,2.88,2.9
38,18,10,163,58.6,12.8,92.5,110,29,2,5,.6,1,2,2.5,2.5
38,18,10,163,58.6,12.8,92.5,110,29,3,3.1,.5,2,1,2.4,3
38,18,10,163,58.6,12.8,92.5,110,29,4,4.3,.7,2,2,4.29,3.9
39,18,8,177,72.12,15,92.5,72.5,28,1,3.5,.6,1,1,4.83,4.7
39,18,8,177,72.12,15,92.5,72.5,28,2,4.3,.5,1,2,5.6,5
39,18,8,177,72.12,15,92.5,72.5,28,3,3.9,.7,2,1,4.57,5
39,18,8,177,72.12,15,92.5,72.5,28,4,3.8,.4,2,2,2.5,4.2
40,20,10,174,81.47,19.35,135,104,29,1,4.2,.5,1,1,5.6,5.5
40,20,10,174,81.47,19.35,135,104,29,2,4,.6,1,2,5.33,5.4
40,20,10,174,81.47,19.35,135,104,29,3,3.8,.3,2,1,4.67,5.22
40,20,10,174,81.47,19.35,135,104,29,4,4.3,.6,2,2,4.83,5.1
41,20,15,170.65,72.35,19.25,53,47.5,36,1,4,.7,1,1,4.43,4.6
41,20,15,170.65,72.35,19.25,53,47.5,36,2,4,.3,1,2,5.33,4.9
41,20,15,170.65,72.35,19.25,53,47.5,36,3,3.8,.6,2,1,4.83,4.7
41,20,15,170.65,72.35,19.25,53,47.5,36,4,4.3,.3,2,2,4.33,4.4
42,19,18,167.65,71.71,18.7,71,40,36,1,4.1,.7,1,1,8.71,7.9
42,19,18,167.65,71.71,18.7,71,40,36,2,3.4,.4,1,2,9,8.7
42,19,18,167.65,71.71,18.7,71,40,36,3,3.4,.7,2,1,8.29,8.4
42,19,18,167.65,71.71,18.7,71,40,36,4,4.3,.8,2,2,8.25,7.8
43,21,7,179,78.52,20.25,102.5,54,32,1,3.8,.6,1,1,8.67,8.3
43,21,7,179,78.52,20.25,102.5,54,32,2,4.5,.6,1,2,6.17,6.3
43,21,7,179,78.52,20.25,102.5,54,32,3,3.6,.6,2,1,8,7.4
43,21,7,179,78.52,20.25,102.5,54,32,4,3.8,.5,2,2,9.2,7.2
44,21,7,180.75,61.05,7.7,80,47.5,27,1,4.1,.7,1,1,5.71,5.8
