ID,Face_Morph,Face_Set,Face_Set_Type,Resoponse_Type,Frequency
30,2,2,4,3,3
31,1,1,1,1,5
31,1,1,1,2,2
31,1,1,1,3,0
31,2,2,1,4,3
31,1,1,2,4,4
31,2,1,2,1,3
31,2,1,2,2,4
31,2,1,2,3,2
31,2,1,3,4,0
31,1,2,3,1,3
31,1,2,3,2,2
31,1,2,3,3,3
31,1,2,4,4,3
31,2,2,4,1,2
31,2,2,4,2,2
31,2,2,4,3,2
32,1,1,1,1,0
32,1,1,1,2,4
32,1,1,1,3,5
32,2,2,1,4,1
32,1,1,2,4,1
32,2,1,2,1,1
32,2,1,2,2,0
32,2,1,2,3,4
32,2,1,3,4,5
32,1,2,3,1,1
32,1,2,3,2,4
32,1,2,3,3,4
32,1,2,4,4,1
32,2,2,4,1,2
32,2,2,4,2,4
32,2,2,4,3,3
33,1,1,1,1,1
33,1,1,1,2,2
33,1,1,1,3,4
33,2,2,1,4,2
33,1,1,2,4,2
33,2,1,2,1,3
33,2,1,2,2,3
33,2,1,2,3,2
33,2,1,3,4,3
33,1,2,3,1,2
33,1,2,3,2,5
33,1,2,3,3,3
33,1,2,4,4,0
33,2,2,4,1,2
33,2,2,4,2,3
33,2,2,4,3,3
34,1,1,1,1,4
34,1,1,1,2,1
34,1,1,1,3,1
34,2,2,1,4,0
34,1,1,2,4,4
34,2,1,2,1,5
34,2,1,2,2,0
34,2,1,2,3,0
34,2,1,3,4,5
34,1,2,3,1,3
34,1,2,3,2,4
34,1,2,3,3,2
34,1,2,4,4,1
34,2,2,4,1,4
34,2,2,4,2,4
34,2,2,4,3,1
35,1,1,1,1,4
35,1,1,1,2,3
35,1,1,1,3,2
35,2,2,1,4,2
35,1,1,2,4,2
35,2,1,2,1,4
35,2,1,2,2,0
35,2,1,2,3,0
35,2,1,3,4,5
35,1,2,3,1,3
35,1,2,3,2,4
35,1,2,3,3,3
35,1,2,4,4,1
35,2,2,4,1,1
35,2,2,4,2,3
35,2,2,4,3,3
36,1,1,1,1,3
36,1,1,1,2,2
36,1,1,1,3,2
36,2,2,1,4,0
36,1,1,2,4,3
36,2,1,2,1,3
36,2,1,2,2,1
36,2,1,2,3,2
36,2,1,3,4,4
36,1,2,3,1,4
36,1,2,3,2,4
36,1,2,3,3,1
36,1,2,4,4,2
36,2,2,4,1,5
36,2,2,4,2,4
36,2,2,4,3,0
37,1,1,1,1,3
37,1,1,1,2,2
37,1,1,1,3,1
37,2,2,1,4,4
37,1,1,2,4,3
37,2,1,2,1,4
37,2,1,2,2,2
37,2,1,2,3,2
37,2,1,3,4,3
37,1,2,3,1,4
37,1,2,3,2,2
37,1,2,3,3,1
37,1,2,4,4,2
37,2,2,4,1,5
37,2,2,4,2,2
37,2,2,4,3,0
38,1,1,1,1,1
38,1,1,1,2,4
38,1,1,1,3,3
38,2,2,1,4,0
38,1,1,2,4,1
38,2,1,2,1,6
38,2,1,2,2,3
38,2,1,2,3,0
38,2,1,3,4,2
38,1,2,3,1,1
38,1,2,3,2,5
38,1,2,3,3,3
38,1,2,4,4,1
38,2,2,4,1,2
38,2,2,4,2,4
38,2,2,4,3,4
39,1,1,1,1,3
39,1,1,1,2,3
39,1,1,1,3,2
39,2,2,1,4,3
39,1,1,2,4,3
39,2,1,2,1,5
39,2,1,2,2,1
