subjectNumber,Condition,AGE,TRAIT_DOM,HEIGHT,WEIGHT,BODY_FAT,GRIP_STRENGTH,CHEST_STRENGTH,DOM_IPIP,FACECON,Face_Data_Set,Morph_type,DOM_RATING,MEM,COM
34,1,21,19,194.75,82.83,11.35,100,67.5,36,2,1,2,6.1,.7,6.57
34,1,21,19,194.75,82.83,11.35,100,67.5,36,3,2,1,3.1,.5,7.8
34,1,21,19,194.75,82.83,11.35,100,67.5,36,4,2,2,5.5,.6,6.33
35,1,19,17,179.95,81.56,16.8,110,145,36,1,1,1,3.5,.5,5.6
35,1,19,17,179.95,81.56,16.8,110,145,36,2,1,2,4.4,.6,4.83
35,1,19,17,179.95,81.56,16.8,110,145,36,3,2,1,2.8,.5,4.8
35,1,19,17,179.95,81.56,16.8,110,145,36,4,2,2,4.7,.6,4.17
36,1,19,20,174.25,74.03,18.15,72.5,43.75,30,1,1,1,3.8,.7,6.14
36,1,19,20,174.25,74.03,18.15,72.5,43.75,30,2,1,2,4,.5,5.6
36,1,19,20,174.25,74.03,18.15,72.5,43.75,30,3,2,1,3,.6,6.33
36,1,19,20,174.25,74.03,18.15,72.5,43.75,30,4,2,2,3.5,.8,5.25
37,1,24,10,166.5,74.84,20.3,72.5,46.5,24,1,1,1,3.2,.6,5.33
37,1,24,10,166.5,74.84,20.3,72.5,46.5,24,2,1,2,3.1,.6,2.83
37,1,24,10,166.5,74.84,20.3,72.5,46.5,24,3,2,1,4.3,.4,5.5
37,1,24,10,166.5,74.84,20.3,72.5,46.5,24,4,2,2,4,.8,4.25
38,1,18,10,163,58.6,12.8,92.5,110,29,1,1,1,4.1,.8,2.88
38,1,18,10,163,58.6,12.8,92.5,110,29,2,1,2,5,.6,2.5
38,1,18,10,163,58.6,12.8,92.5,110,29,3,2,1,3.1,.5,2.4
38,1,18,10,163,58.6,12.8,92.5,110,29,4,2,2,4.3,.7,4.29
39,1,18,8,177,72.12,15,92.5,72.5,28,1,1,1,3.5,.6,4.83
39,1,18,8,177,72.12,15,92.5,72.5,28,2,1,2,4.3,.5,5.6
39,1,18,8,177,72.12,15,92.5,72.5,28,3,2,1,3.9,.7,4.57
39,1,18,8,177,72.12,15,92.5,72.5,28,4,2,2,3.8,.4,2.5
40,1,20,10,174,81.47,19.35,135,104,29,1,1,1,4.2,.5,5.6
40,1,20,10,174,81.47,19.35,135,104,29,2,1,2,4,.6,5.33
40,1,20,10,174,81.47,19.35,135,104,29,3,2,1,3.8,.3,4.67
40,1,20,10,174,81.47,19.35,135,104,29,4,2,2,4.3,.6,4.83
41,1,20,15,170.65,72.35,19.25,53,47.5,36,1,1,1,4,.7,4.43
41,1,20,15,170.65,72.35,19.25,53,47.5,36,2,1,2,4,.3,5.33
41,1,20,15,170.65,72.35,19.25,53,47.5,36,3,2,1,3.8,.6,4.83
41,1,20,15,170.65,72.35,19.25,53,47.5,36,4,2,2,4.3,.3,4.33
42,1,19,18,167.65,71.71,18.7,71,40,36,1,1,1,4.1,.7,8.71
42,1,19,18,167.65,71.71,18.7,71,40,36,2,1,2,3.4,.4,9
42,1,19,18,167.65,71.71,18.7,71,40,36,3,2,1,3.4,.7,8.29
42,1,19,18,167.65,71.71,18.7,71,40,36,4,2,2,4.3,.8,8.25
43,1,21,7,179,78.52,20.25,102.5,54,32,1,1,1,3.8,.6,8.67
43,1,21,7,179,78.52,20.25,102.5,54,32,2,1,2,4.5,.6,6.17
43,1,21,7,179,78.52,20.25,102.5,54,32,3,2,1,3.6,.6,8
43,1,21,7,179,78.52,20.25,102.5,54,32,4,2,2,3.8,.5,9.2
44,1,21,7,180.75,61.05,7.7,80,47.5,27,1,1,1,4.1,.7,5.71
44,1,21,7,180.75,61.05,7.7,80,47.5,27,2,1,2,4.5,.5,6.2
44,1,21,7,180.75,61.05,7.7,80,47.5,27,3,2,1,3.8,.6,6
44,1,21,7,180.75,61.05,7.7,80,47.5,27,4,2,2,4.5,.5,5.4
45,1,21,18,177.25,77.02,16.65,70,80,39,1,1,1,2.9,.6,6.33
45,1,21,18,177.25,77.02,16.65,70,80,39,2,1,2,3.7,.7,9.43
45,1,21,18,177.25,77.02,16.65,70,80,39,3,2,1,2.2,.5,8.8
45,1,21,18,177.25,77.02,16.65,70,80,39,4,2,2,3.1,.6,6.33
46,1,19,10,176.65,72.26,13.9,53.75,39,31,1,1,1,2.7,.6,4.5
46,1,19,10,176.65,72.26,13.9,53.75,39,31,2,1,2,3.5,.7,3.14
46,1,19,10,176.65,72.26,13.9,53.75,39,31,3,2,1,3.5,.8,2.63
46,1,19,10,176.65,72.26,13.9,53.75,39,31,4,2,2,3,.6,4.83
47,1,19,18,183.8,88.86,23.65,150,77.5,40,1,1,1,4.2,.6,5.67
47,1,19,18,183.8,88.86,23.65,150,77.5,40,2,1,2,3.6,.4,4
47,1,19,18,183.8,88.86,23.65,150,77.5,40,3,2,1,4.9,.7,4.29
47,1,19,18,183.8,88.86,23.65,150,77.5,40,4,2,2,4.4,.5,4.6
48,1,19,16,175.75,194.9,25.8,80,72.5,36,1,1,1,4.3,.7,8.29
48,1,19,16,175.75,194.9,25.8,80,72.5,36,2,1,2,4.6,.6,6
48,1,19,16,175.75,194.9,25.8,80,72.5,36,3,2,1,3.9,.8,6.88
48,1,19,16,175.75,194.9,25.8,80,72.5,36,4,2,2,4.5,.4,4.25
49,1,19,5,188,136.8,6.65,72.5,67.5,36,1,1,1,4.1,.5,3.8
49,1,19,5,188,136.8,6.65,72.5,67.5,36,2,1,2,4.2,.7,5.14
49,1,19,5,188,136.8,6.65,72.5,67.5,36,3,2,1,3,.2,5
49,1,19,5,188,136.8,6.65,72.5,67.5,36,4,2,2,3.6,.4,2
50,1, , ,174,60.42,11,87.5,74,27,1,1,1,4.1,1,4.6
50,1, , ,174,60.42,11,87.5,74,27,2,1,2,4.4,.5,3.6
50,1, , ,174,60.42,11,87.5,74,27,3,2,1,4.6,.6,2.5
50,1, , ,174,60.42,11,87.5,74,27,4,2,2,4.3,.8,4.13
51,1,24,14,174,60.42,11,87.5,74,27,1,1,1,3.3,.6,4.33
51,1,24,14,174,60.42,11,87.5,74,27,2,1,2,3.3,.5,4.2
51,1,24,14,174,60.42,11,87.5,74,27,3,2,1,3,.7,3.57
51,1,24,14,174,60.42,11,87.5,74,27,4,2,2,3.4,.5,4.4
52,1,20,25,173.25,64.32,15.35,67.5,45,42,1,1,1,4.5,.5,5.4
52,1,20,25,173.25,64.32,15.35,67.5,45,42,2,1,2,5.2,.6,5.5
52,1,20,25,173.25,64.32,15.35,67.5,45,42,3,2,1,4.2,.4,6.75
52,1,20,25,173.25,64.32,15.35,67.5,45,42,4,2,2,4.5,.8,6.25
53,1,19,11,179.75,159.8,14.1,100,56.25,28,1,1,1,3.3,.7,6.57
53,1,19,11,179.75,159.8,14.1,100,56.25,28,2,1,2,3,.5,6.4
53,1,19,11,179.75,159.8,14.1,100,56.25,28,3,2,1,3.1,.5,5.6
53,1,19,11,179.75,159.8,14.1,100,56.25,28,4,2,2,2.3,.6,6.67
501,2,22,16,177.75,78.4545454545454,15.2,155,70,36,1,1,1,5.4,.5,4.4
501,2,22,16,177.75,78.4545454545454,15.2,155,70,36,2,1,2,4.4,.6,4.17
501,2,22,16,177.75,78.4545454545454,15.2,155,70,36,3,2,1,4,.3,5
501,2,22,16,177.75,78.4545454545454,15.2,155,70,36,4,2,2,4.5,.6,4.33
502,2,19,15,176,58.5909090909091,10.75,78,47.5,40,1,1,1,4.5,.4,8.25
502,2,19,15,176,58.5909090909091,10.75,78,47.5,40,2,1,2,4.7,.4,7.5
502,2,19,15,176,58.5909090909091,10.75,78,47.5,40,3,2,1,5.2,.3,7.67
502,2,19,15,176,58.5909090909091,10.75,78,47.5,40,4,2,2,5.4,.5,5.8
503,2,22,10,174.25,73.9545454545454,19.7,200,80,29,1,1,1,3.4,.4,4.5
503,2,22,10,174.25,73.9545454545454,19.7,200,80,29,2,1,2,4.5,.6,6.5
503,2,22,10,174.25,73.9545454545454,19.7,200,80,29,3,2,1,2.9,.4,5.75
503,2,22,10,174.25,73.9545454545454,19.7,200,80,29,4,2,2,4.6,.6,6.67
504,2,19,17,173.9,65.2727272727273,14.05,88.75,60,34,1,1,1,3.7,.6,8.67
504,2,19,17,173.9,65.2727272727273,14.05,88.75,60,34,2,1,2,4.1,.7,8.86
504,2,19,17,173.9,65.2727272727273,14.05,88.75,60,34,3,2,1,3.6,.7,8.86
504,2,19,17,173.9,65.2727272727273,14.05,88.75,60,34,4,2,2,3.3,.3,8.67
505,2,19,10,171.85,70.9090909090909,14.6,70,45,26,1,1,1,3.3,.5,9.2
505,2,19,10,171.85,70.9090909090909,14.6,70,45,26,2,1,2,3.8,.3,10
505,2,19,10,171.85,70.9090909090909,14.6,70,45,26,3,2,1,3.3,.3,8.33
